NOME,CPF,TELEFONE,CEP,NUMERO
Jesus Noble,286.439.107-40,(53) 10492-8375,39412-578,2614
Samantha Rogers,986.475.301-01,(51) 83792-4560,40167-932,2951
Nicholas Jackson,369.502.481-05,(64) 94580-3127,57913-640,0128
Ian Price,283.179.506-03,(53) 62430-1579,52687-430,0634
Lisa Allen,746.239.058-29,(98) 34028-6951,83470-512,5876
Jennifer Brown,956.310.427-70,(71) 07498-1563,82015-796,2610
Mrs. Veronica Gonzales,936.184.520-98,(72) 52803-7964,56238-971,3964
William Allen,807.234.169-31,(43) 92786-3104,65390-842,541
Nancy Edwards,327.091.845-32,(95) 54672-3198,01537-628,396
Margaret Taylor,987.042.563-10,(91) 05278-9631,91046-853,198
Mrs. Stacy Lopez MD,529.410.376-16,(86) 92468-1507,50974-381,593
Joseph Webb,468.137.592-64,(79) 31846-7059,40352-167,89
Julie Davis,914.782.360-78,(69) 69387-2504,60584-791,376
Kimberly Hamilton,783.694.251-19,(37) 35794-2806,68542-910,28
Gina Norris,624.139.708-78,(52) 94032-6758,98213-746,634
Jessica Werner,907.824.156-01,(33) 03457-8291,32156-978,132
Sarah Jackson,145.687.309-10,(88) 37608-1942,23596-174,413
Claire Vasquez,063.918.547-93,(14) 70241-9563,62951-470,953
Daniel Whitney,754.603.291-16,(52) 75961-3804,62105-387,462
Kevin York,682.345.790-29,(79) 54187-3026,10792-865,712
Chris Guzman,721.690.534-25,(77) 78145-3290,75294-613,75
Cameron Holden,829.164.703-87,(47) 54038-7192,67490-513,934
Dawn Barrera,452.736.108-26,(97) 26945-1703,53621-704,16
Sarah Baker,385.421.097-32,(63) 57380-6219,15920-678,5314
Nathan Petersen,871.652.304-08,(46) 23905-6871,26735-041,5397
Robert Long,951.720.384-50,(59) 90328-1745,51782-340,251
Lisa Perry,897.562.340-83,(54) 97218-3560,90672-415,627
Alyssa Brewer,034.896.275-47,(48) 60479-3852,20485-739,409
Amy Beard,479.125.038-97,(62) 27896-5341,63804-159,7352
Jerome Richards,524.836.109-51,(28) 95263-8471,46250-719,43
Joseph Newman,361.248.975-55,(30) 37496-5280,50719-284,8204
Corey Alexander,150.837.962-95,(33) 73129-6045,03928-176,87
Austin Freeman,304.751.829-79,(16) 63785-0219,74683-501,6519
Jody Long,043.672.185-62,(73) 91072-5348,41095-673,032
Kimberly Washington,284.156.390-15,(16) 24738-6159,64072-153,0263
Eric Myers,416.872.905-20,(35) 57683-9102,38097-465,4538
Ms. Sydney Berry,305.741.896-10,(50) 59036-8172,41580-236,5209
John Elliott,169.732.405-34,(42) 59436-1802,84516-790,095
Christine Rodriguez,156.340.728-08,(93) 17865-2940,01298-463,6087
Christopher Ross,356.742.801-26,(81) 20718-5934,86275-093,65
Phillip Edwards,351.940.687-00,(51) 96457-3021,49057-682,2169
Luke Peters,083.972.546-92,(42) 86571-3924,69870-542,0276
Heather Bishop,279.486.035-65,(11) 27503-8961,58620-973,472
Aaron Sanchez,463.920.571-61,(75) 67258-4130,26048-735,52
Susan Tapia,541.263.708-62,(34) 01534-2879,89420-371,13
Kari Walker,713.809.645-39,(26) 38512-7906,02764-583,847
Joseph Edwards,964.273.081-22,(61) 46372-9158,64580-329,83
Kenneth Thompson,635.829.014-24,(49) 03815-9762,48159-623,5190
Charles Rowe,453.671.809-57,(99) 89072-1546,18702-365,1506
Cynthia Wilson,418.073.265-35,(40) 12753-6098,32501-478,962
Gloria Brown,095.164.728-85,(88) 16249-0785,65740-829,2357
Nathan Armstrong,860.521.749-94,(21) 96318-7452,47098-652,206
Sydney Hernandez,845.367.921-55,(38) 36479-1028,56728-143,2816
Alison Barry,950.481.237-60,(50) 79061-5328,26931-458,026
Frank Lewis,319.674.028-50,(45) 74862-9051,62478-310,3159
Jacob Miller,146.890.327-69,(44) 29410-6738,58027-641,1063
Joseph Hughes,103.482.675-17,(63) 27539-6108,58931-420,6259
Kayla Rogers,019.683.752-95,(53) 13270-8945,90143-765,068
Rebecca Chan,618.294.750-02,(79) 70918-5623,96312-458,391
Bradley Norman,815.472.630-08,(13) 20683-7945,87356-490,780
Kimberly Boyle,982.705.436-83,(19) 65412-9807,49702-853,468
Juan Hill,371.608.452-26,(35) 56094-7182,76908-412,3478
Michael Jones,865.324.901-05,(99) 83294-0716,32157-098,7145
Daniel Mcdaniel,602.847.953-56,(44) 06813-2495,27509-468,1052
Ryan Baker,018.963.247-03,(48) 98506-2173,23076-195,5241
Kristy Durham,810.452.769-01,(88) 59614-2703,23961-584,681
Gary Sullivan,496.072.183-96,(53) 41650-8392,62048-591,39
Scott Davis,539.416.087-20,(19) 47159-8602,02961-748,9635
Joanna Johnson,301.268.957-59,(70) 39817-4605,42186-970,8607
Joseph Cantrell,714.680.325-26,(82) 04879-6123,83906-245,07
Victor Gonzalez,987.651.034-75,(79) 63105-8927,93750-461,150
Betty Garcia,950.376.241-34,(95) 04621-7538,29537-810,063
Darrell Tucker,324.581.079-23,(22) 25980-4367,64081-739,0859
Jacob Caldwell,692.375.108-02,(85) 29304-7815,09134-258,0981
Ross Whitehead,069.824.735-38,(72) 73564-1892,36950-821,260
Emily Walker,472.156.093-16,(42) 08216-9475,97386-205,80
Gail Weaver,914.208.675-20,(99) 12038-7596,50863-147,782
Sarah Owens,149.350.827-04,(68) 74502-6931,42397-851,3061
Tammie Diaz,910.265.347-80,(20) 15697-8304,20138-697,63
Jordan Mccullough,491.230.578-23,(53) 03574-9618,98241-763,025
Paul Velazquez,251.074.683-90,(44) 49216-0785,49738-021,976
Ann White,732.869.450-56,(44) 98105-4763,58491-276,8046
David Burgess,543.216.709-34,(43) 10654-2398,74289-516,049
Kevin Nelson,406.351.978-39,(44) 16457-8309,64302-785,5941
Joseph Fisher,925.147.806-67,(92) 63859-7410,72069-538,25
Charles Mcmahon,875.126.903-12,(29) 56173-0429,13289-056,6582
Barbara Pearson,045.961.238-70,(54) 82453-6190,20765-348,579
Shannon Boone,648.107.593-93,(37) 48761-2359,62038-947,6908
Todd Allen,145.986.302-05,(92) 93517-0624,18325-407,0958
Ryan West,198.057.436-75,(55) 34610-9278,73160-498,725
Alexis Spencer,783.905.126-02,(48) 74832-5196,68531-904,241
Natasha Fletcher,590.182.476-85,(39) 18540-2763,16408-953,0582
Suzanne Scott,516.483.720-07,(68) 47860-1953,47610-853,79
Michael Espinoza,723.605.498-47,(25) 29376-1840,41569-378,912
Noah Chan,201.986.735-40,(88) 04285-1679,27430-658,510
Jay Cross,207.894.135-23,(35) 50248-9317,40618-573,4658
William Blair,364.571.820-62,(41) 14892-5703,06427-893,7608
Lori Hebert,963.541.280-06,(18) 59836-1740,81532-407,952
Linda Herman,856.037.942-83,(79) 15726-9308,09251-634,70
Mark Bernard,150.986.372-95,(41) 61378-5904,95210-873,7530
Jonathan Moore,974.806.253-83,(19) 79318-0564,43185-072,6920
Thomas Williams,041.659.872-20,(19) 18396-7420,24586-910,098
Randall Hansen,361.872.405-53,(93) 86042-5739,45376-029,542
Jane Clayton,760.512.349-34,(73) 96325-8107,95680-214,5619
Paul Williams,732.158.406-26,(58) 59784-6312,06918-354,30
Thomas Miller,126.307.958-02,(98) 21305-7849,24756-019,459
Kara Rodriguez,361.428.097-78,(47) 51634-9782,51802-379,617
Lisa Hicks,632.417.805-62,(78) 38107-5649,04952-163,0891
Sean Kelley,437.158.692-91,(46) 36429-0751,21843-956,907
Dr. Jared Wright,205.478.369-29,(96) 05716-8249,45269-083,245
Jennifer Juarez,452.981.073-97,(66) 37568-9210,85167-234,9384
Cynthia Evans,247.596.380-83,(78) 26438-9105,79184-053,927
Richard Greene,840.261.573-26,(15) 61974-3528,41028-736,4698
Travis Pope,286.514.903-05,(70) 01674-8259,87012-563,053
Cory Mccoy,106.824.975-76,(86) 29685-0714,37859-164,5768
Christopher Watkins,316.870.492-03,(18) 50273-6984,54137-298,41
Stephen Shaw,234.597.610-16,(56) 72638-4910,97806-145,14
Nicholas Wilkins,314.908.276-50,(40) 23051-9674,70918-635,2693
Lucas Bishop,982.063.175-03,(42) 48570-9263,58307-162,193
Nicole Taylor,094.812.675-20,(59) 80637-2459,16975-430,2190
Lisa Hunt,680.527.319-68,(43) 24795-6130,60428-917,430
Robin Murray,391.042.657-34,(82) 64170-3928,79625-108,3586
Juan Murphy,210.645.839-89,(50) 94518-7326,41853-620,834
Keith Wright,486.130.529-24,(34) 17308-4265,50428-631,465
Alison Bush,534.890.267-56,(33) 64907-3152,34971-068,1435
Katie Levine,761.408.239-78,(42) 81637-0294,18974-503,2057
Cindy Wilson,073.415.289-23,(95) 21938-4756,68012-743,085
Kenneth Smith,657.918.042-02,(98) 90456-1273,10965-423,604
John Martin,215.738.964-46,(18) 27391-0548,62315-948,8201
Susan Torres,726.804.913-78,(70) 20346-1578,90524-863,560
Virginia Mitchell,291.837.065-77,(33) 79413-8256,90546-328,318
John Bonilla,513.870.694-20,(77) 57963-2148,47023-659,034
Craig Horn,126.578.403-53,(69) 91453-6827,78953-406,317
Amy Davis,380.675.429-29,(19) 01862-9547,76359-820,270
Whitney Allen,716.480.329-31,(78) 30516-8492,75961-082,935
Angela Hall,437.602.891-69,(11) 14530-6289,78569-310,76
Jasmine Smith,397.560.412-34,(48) 41793-6285,10428-569,750
Carolyn Mack,954.810.367-20,(20) 48291-6703,73690-254,8576
Dylan Gray,164.057.938-93,(96) 39416-2708,14367-905,853
Jacob Lewis,562.193.708-21,(99) 23851-7460,64175-820,482
Lawrence Schroeder,752.319.408-79,(16) 34896-1072,93870-146,3956
Jessica Huff,436.891.057-57,(48) 27540-3819,74530-961,5327
Bailey Oconnor,529.146.037-70,(70) 03518-6742,36520-741,6941
Thomas Sanders,376.049.528-10,(27) 67859-1402,71865-402,529
Carrie Lynch,150.293.478-79,(90) 29467-3105,49078-235,5214
Jill Garza,370.829.651-68,(24) 34298-6701,67810-953,67
Holly Robinson,501.846.297-30,(34) 95642-3718,59846-713,3169
Carlos Gomez,720.354.816-35,(90) 18735-4026,04927-568,3784
Sarah Potter MD,650.213.789-02,(81) 24186-7590,01496-723,4283
David Snyder,370.162.549-25,(14) 41683-9720,61328-047,013
Jenna Nelson,034.652.917-43,(66) 57843-9120,95671-328,54
Cheryl Barnett,457.932.801-97,(89) 70634-8521,56830-497,607
Samuel Jones,397.612.485-00,(15) 94615-3780,46712-593,0461
Joshua Garcia,639.850.214-06,(96) 52836-0197,68904-157,7961
Jose Garcia,409.832.156-42,(14) 04856-9273,95230-746,508
David Long,672.150.394-80,(55) 19740-2563,30281-945,0761
Christopher Garcia,684.532.079-92,(39) 86792-5341,06124-785,3024
Nicole Johnson,173.240.859-97,(55) 93784-2650,79106-482,35
Jeffrey Taylor,896.724.015-58,(70) 35918-4706,80574-236,917
Roberto Foster,034.597.812-97,(76) 79401-3825,76194-583,3850
Jimmy Palmer,983.620.415-60,(43) 86593-0174,39482-657,6402
Ruth Reynolds,864.319.052-70,(16) 43526-7018,04138-627,1478
Vicki Carter,145.392.860-05,(54) 69258-4370,16358-947,6529
Julie Wilson,389.654.271-00,(74) 90238-6471,37514-920,987
Mrs. Cynthia Bryant DDS,163.752.908-21,(36) 78563-2149,73164-890,8546
Michael Cooper,340.621.897-04,(85) 04783-5921,43086-295,1870
Charles Evans,372.451.968-00,(54) 35086-1729,59046-312,051
Julie Bennett,962.180.573-21,(95) 19473-5082,24370-581,456
Madison Walton,604.518.273-17,(37) 87190-3652,34750-618,641
Lisa Avila,246.157.309-34,(53) 08972-1546,38916-025,590
Michelle Perez,251.964.783-37,(16) 09738-4162,13487-296,5197
Miss Elizabeth Kim,723.165.094-52,(88) 45016-3978,52391-704,2195
Benjamin Mcgee,563.940.872-38,(89) 42176-5890,30124-987,5286
Joseph Rivera,653.018.297-77,(91) 87421-6950,12650-789,158
Lindsay Macias,218.795.064-67,(67) 06874-5293,13064-879,970
Alyssa Mcgrath,047.652.391-52,(55) 14367-2589,12067-359,4207
Crystal Sanchez,203.149.765-07,(64) 91658-0327,57390-824,183
John Wright,935.647.120-70,(48) 69401-2857,60512-837,7096
Jerome Lane,561.428.970-49,(55) 61592-0847,32745-910,3879
Douglas Hart,012.374.985-97,(95) 16948-7032,65208-391,42
Jaime Fernandez DVM,048.619.537-66,(35) 21538-7690,51430-769,4057
Patrick Lam,946.705.832-47,(26) 53806-4921,62950-871,189
Kenneth Nash,289.713.450-04,(38) 70841-6259,92068-437,19
Jerry Nguyen,380.721.569-77,(68) 65170-2438,12659-374,078
Lynn King,614.097.835-10,(79) 42013-9876,09543-761,059
Jason Dean,801.639.547-39,(85) 41758-3069,23786-951,7480
Tracey Salazar,263.741.098-13,(92) 83471-6205,08396-417,657
Jessica Gallegos,579.042.861-49,(62) 96481-3527,87425-903,931
Matthew Johnson,695.214.083-24,(75) 61249-7058,26589-430,6128
Carrie Brown,670.412.398-96,(77) 32468-5017,51760-983,7803
Alexandria Wells,523.681.904-06,(86) 08764-5139,58649-102,5749
Carrie Howard,691.302.785-03,(20) 84296-5037,56218-094,2937
Brian Ritter,098.173.625-40,(57) 92537-6401,42075-931,2867
Mrs. Pamela Shaw,132.679.805-77,(22) 67598-1024,52739-648,8247
Thomas Martin,857.219.306-59,(41) 62837-5014,85291-634,467
Robert Thornton,701.923.458-50,(45) 47023-8596,10324-596,741
Joshua Ross,230.658.419-24,(40) 79021-5486,83259-407,964
Christina Perez,874.631.925-55,(31) 98046-2173,03287-965,549
Anthony Hart,038.274.915-41,(12) 09635-8124,31926-078,0916
Eric Gutierrez,541.270.689-49,(42) 97651-0832,32780-951,786
Thomas Andrews,839.670.145-84,(72) 48591-6032,64309-852,9612
Catherine Williams,625.780.341-17,(59) 31492-6807,32496-078,2031
Eileen Welch,306.258.179-40,(41) 40829-7635,90372-148,8305
Cindy Farley,023.461.875-26,(49) 85734-9162,73984-061,24
Stacy Davis,791.052.468-49,(48) 20143-9785,05892-741,7042
Elizabeth Hudson,612.083.954-24,(76) 79854-2610,97415-306,279
Stephen Moss,402.615.897-76,(65) 78203-4659,45307-281,21
David Mclaughlin Jr.,763.890.421-40,(17) 51748-2369,12943-806,1635
Richard Fuller,507.628.194-30,(95) 06852-4317,62859-130,716
Kevin Valentine,024.981.357-23,(36) 97405-2381,70538-692,2375
Daniel Perry,469.315.827-55,(45) 97104-8625,01397-254,7849
Tara Simmons,078.241.639-03,(58) 96172-4508,40832-519,351
Michael Williams,912.785.364-00,(91) 95360-7184,35790-146,3947
Kelly Hernandez,273.509.861-30,(23) 35719-2064,34059-681,5273
Evelyn Sanchez,965.740.812-11,(45) 90356-1784,34029-651,72
Carolyn Lee,974.510.632-16,(33) 90834-6572,04812-356,479
Maria Washington,645.892.731-28,(12) 54836-1290,01427-693,2784
Patricia Tucker,529.614.870-30,(97) 56139-0742,71694-305,98
Olivia King,694.521.380-33,(88) 20613-8495,75930-261,058
Maria Pruitt,902.846.157-49,(90) 12746-8593,09728-156,9041
Melissa Brooks,952.071.468-58,(43) 72809-4561,73258-960,379
Sarah Baker,485.627.103-26,(18) 54902-8713,69852-173,5329
Joshua Rhodes,461.025.387-90,(72) 49732-5810,15324-890,975
David Ortiz,650.849.317-57,(44) 14975-3028,07289-163,9650
Matthew Caldwell Jr.,316.874.052-71,(71) 87524-1609,97184-365,4365
Reginald Johnson,792.180.354-79,(51) 48076-2931,56194-302,485
John Johnson,452.679.308-65,(45) 47208-1659,52894-731,539
Nicholas Serrano,928.170.534-60,(23) 14903-5278,02561-748,3740
Veronica Cervantes,485.723.091-79,(46) 27069-5341,63708-295,4052
David Stafford,350.819.467-10,(68) 63902-4857,78643-519,862
Donald Hamilton,092.368.415-89,(99) 65801-4297,58397-642,738
Ross Forbes,316.798.024-96,(54) 39520-7146,81765-243,9864
Joanna Webb,704.839.126-03,(62) 41823-5709,53176-089,036
Lauren Lane,698.503.241-98,(56) 15764-0398,13785-029,314
Christopher Mckinney,821.475.063-62,(83) 15709-8264,91542-386,2873
Samuel Perez,316.947.580-01,(71) 04279-3561,14830-967,615
Mr. Timothy Shea,417.583.692-64,(88) 29061-5837,04597-826,631
Hailey Miller,258.693.410-51,(15) 53028-4179,51206-837,637
Jennifer Yu,142.087.396-22,(44) 29063-1758,15874-306,4073
Aaron Greer,318.692.054-05,(28) 23951-8046,57813-609,914
Stephanie Frank,542.178.963-28,(34) 13654-2098,23680-579,304
Erika Berry,859.720.163-03,(47) 69302-8514,18356-790,2987
Katie Robinson,512.706.489-85,(47) 82507-1934,19320-754,4326
Tammy Benson,487.310.692-31,(22) 76098-2143,78150-496,820
Kyle Palmer,217.905.436-06,(19) 09463-5217,25073-819,672
Hannah Sanders,861.542.397-00,(59) 85723-0946,69204-857,0864
Carrie Foster,807.193.254-04,(59) 93756-0412,76198-402,156
George Flores,702.984.613-31,(15) 18052-3794,31874-069,3614
Kelly Moore,543.986.072-00,(58) 41367-5289,46521-783,081
Edward Rodriguez,073.148.596-39,(93) 37248-9560,51324-897,984
Eric Cox,835.791.204-41,(67) 12609-4385,10329-567,9435
Michael Sawyer,856.902.341-33,(94) 97521-8436,60597-312,879
Amanda Lee,820.561.743-08,(87) 37829-1045,95036-287,865
Barry York,170.382.695-77,(18) 86193-4527,10465-829,385
Robert Moore,928.674.301-78,(66) 80135-2697,23169-870,769
Jessica Stone,196.378.250-02,(93) 79814-5023,86429-350,7610
Jennifer Lopez,632.740.185-62,(39) 39164-5027,35798-016,187
Edward Pineda,718.490.652-76,(24) 25618-0793,45263-917,3198
Heidi Edwards,803.529.147-50,(35) 84035-7269,85326-741,85
Sarah Watson,721.039.465-61,(51) 51839-2046,42158-607,9057
Larry Clark,681.079.532-40,(77) 39450-8217,69085-247,5943
Joshua Walker,485.706.329-83,(74) 48695-0321,74639-815,740
Shannon Ramirez,459.723.061-07,(67) 25038-6194,69318-570,7048
James Jensen,835.062.971-12,(27) 01479-3582,84167-590,6450
Caitlin Lawrence,360.247.981-13,(32) 70819-4652,15462-378,68
Anna Morgan,359.640.821-06,(92) 13298-7650,70362-149,4270
Linda Ortiz,082.697.341-87,(34) 39201-5867,96108-547,9256
Robert Francis,341.087.926-96,(63) 56178-0329,98023-745,18
Amanda Savage,371.640.259-16,(62) 50473-2819,95610-327,3702
Steven Cole,057.832.649-38,(91) 37941-2605,97163-245,7314
Megan Oconnor,268.701.459-11,(88) 18349-0572,24081-937,942
Christopher Harrington,562.819.037-30,(11) 85170-3496,84329-150,4681
Cynthia Thomas,402.893.571-79,(47) 85941-3207,25714-603,843
Amanda Jones,956.208.341-15,(64) 40537-1986,04753-168,720
Sarah Freeman,981.350.672-59,(66) 68732-4105,94857-160,8721
Lance Jackson,057.493.826-56,(20) 46230-8195,91285-704,841
Tamara Miller,357.804.619-10,(32) 20849-7536,84356-017,96
Carol Thomas,023.184.679-78,(84) 02691-3874,45027-618,290
